Timestamp (ms),Initialization Time (ms),X,Y,Z
1714318100137,437.477,0.0,9.809989,0.0
1714318100144,437.484,0.0,9.809989,0.0
1714318100193,437.533,0.0,9.809989,0.0
1714318100244,437.584,0.0,9.809989,0.0
1714318100293,437.633,0.0,9.809989,0.0
1714318100343,437.683,0.0,9.809989,0.0
1714318100397,437.737,0.0,9.809989,0.0
1714318100444,437.784,0.0,9.809989,0.0
1714318100496,437.836,0.0,9.809989,0.0
1714318100544,437.884,0.0,9.809989,0.0
1714318100596,437.936,0.0,9.809989,0.0
1714318100643,437.983,0.0,9.809989,0.0
1714318100696,438.036,0.0,9.809989,0.0
1714318100744,438.084,0.0,9.809989,0.0
1714318100796,438.136,0.0,9.809989,0.0
1714318100843,438.183,0.0,9.809989,0.0
1714318100893,438.233,0.0,9.809989,0.0
1714318100944,438.284,0.0,9.809989,0.0
1714318100992,438.332,0.0,9.809989,0.0
1714318101043,438.383,0.0,9.809989,0.0
1714318101093,438.433,0.0,9.809989,0.0
1714318101143,438.483,0.0,9.809989,0.0
1714318101192,438.532,0.0,9.809989,0.0
1714318101244,438.584,0.0,9.809989,0.0
1714318101296,438.636,0.0,9.809989,0.0
1714318101345,438.685,0.0,9.809989,0.0
1714318101396,438.736,0.0,9.809989,0.0
1714318101445,438.785,0.0,9.809989,0.0
1714318101496,438.836,0.0,9.809989,0.0
1714318101544,438.884,0.0,9.809989,0.0
1714318101595,438.935,0.0,9.809989,0.0
1714318101645,438.985,0.0,9.809989,0.0
1714318101696,439.036,0.0,9.809989,0.0
1714318101743,439.083,0.0,9.809989,0.0
1714318101796,439.136,0.0,9.809989,0.0
1714318101843,439.183,0.0,9.809989,0.0
1714318101893,439.233,0.0,9.809989,0.0
1714318101944,439.284,0.0,9.809989,0.0
1714318101996,439.336,0.0,9.809989,0.0
1714318102044,439.384,0.0,9.809989,0.0
1714318102096,439.436,0.0,9.809989,0.0
1714318102144,439.484,0.0,9.809989,0.0
1714318102196,439.536,0.0,9.809989,0.0
1714318102244,439.584,0.0,9.809989,0.0
1714318102296,439.636,0.0,9.809989,0.0
1714318102344,439.684,0.0,9.809989,0.0
1714318102393,439.733,0.0,9.809989,0.0
1714318102444,439.784,0.0,9.809989,0.0
1714318102496,439.836,0.0,9.809989,0.0
1714318102544,439.884,0.0,9.809989,0.0
1714318102595,439.935,0.0,9.809989,0.0
1714318102644,439.984,0.0,9.809989,0.0
1714318102696,440.036,0.0,9.809989,0.0
1714318102744,440.084,0.0,9.809989,0.0
1714318102796,440.136,0.0,9.809989,0.0
1714318102844,440.184,0.0,9.809989,0.0
1714318102896,440.236,0.0,9.809989,0.0
1714318102944,440.284,0.0,9.809989,0.0
1714318102997,440.337,0.0,9.809989,0.0
1714318103044,440.384,0.0,9.809989,0.0
1714318103096,440.436,0.0,9.809989,0.0
1714318103145,440.485,0.0,9.809989,0.0
1714318103197,440.537,0.0,9.809989,0.0
1714318103244,440.584,0.0,9.809989,0.0
1714318103293,440.633,0.0,9.809989,0.0
1714318103344,440.684,0.0,9.809989,0.0
1714318103397,440.737,0.0,9.809989,0.0
1714318103444,440.784,0.0,9.809989,0.0
1714318103496,440.836,0.0,9.809989,0.0
1714318103545,440.885,0.0,9.809989,0.0
1714318103597,440.937,0.0,9.809989,0.0
1714318103643,440.983,0.0,9.809989,0.0
1714318103696,441.035,0.0,9.809989,0.0
1714318103744,441.084,0.0,9.809989,0.0
1714318103796,441.136,0.0,9.809989,0.0
1714318103844,441.184,0.0,9.809989,0.0
1714318103895,441.235,0.0,9.809989,0.0
1714318103945,441.285,0.0,9.809989,0.0
1714318103997,441.337,0.0,9.809989,0.0
1714318104044,441.384,0.0,9.809989,0.0
1714318104092,441.432,0.0,9.809989,0.0
1714318104144,441.484,0.0,9.809989,0.0
1714318104196,441.536,0.0,9.809989,0.0
1714318104244,441.584,0.0,9.809989,0.0
1714318104292,441.632,0.0,9.809989,0.0
1714318104343,441.683,0.0,9.809989,0.0
1714318104396,441.736,0.0,9.809989,0.0
1714318104444,441.784,0.0,9.809989,0.0
1714318104492,441.832,0.0,9.809989,0.0
1714318104545,441.885,0.0,9.809989,0.0
1714318104596,441.936,0.0,9.809989,0.0
1714318104645,441.985,0.0,9.809989,0.0
1714318104696,442.036,0.0,9.809989,0.0
1714318104744,442.084,0.0,9.809989,0.0
1714318104796,442.136,0.0,9.809989,0.0
1714318104844,442.184,0.0,9.809989,0.0
1714318104896,442.236,0.0,9.809989,0.0
1714318104944,442.284,0.0,9.809989,0.0
1714318104996,442.336,0.0,9.809989,0.0
1714318105044,442.384,0.0,9.809989,0.0
1714318105095,442.435,0.0,9.809989,0.0
1714318105143,442.483,0.0,9.809989,0.0
1714318105192,442.532,0.0,9.809989,0.0
1714318105244,442.584,0.0,9.809989,0.0
1714318105293,442.632,0.0,9.809989,0.0
1714318105343,442.683,0.0,9.809989,0.0
1714318105392,442.732,0.0,9.809989,0.0
1714318105443,442.783,0.0,9.809989,0.0
1714318105496,442.836,0.0,9.809989,0.0
1714318105544,442.884,0.0,9.809989,0.0
1714318105595,442.935,0.0,9.809989,0.0
1714318105643,442.983,0.0,9.809989,0.0
1714318105693,443.033,0.0,9.809989,0.0
1714318105744,443.084,0.0,9.809989,0.0
1714318105795,443.135,0.0,9.809989,0.0
1714318105844,443.184,0.0,9.809989,0.0
1714318105898,443.238,0.0,9.809989,0.0
1714318105945,443.285,0.0,9.809989,0.0
1714318105995,443.335,0.0,9.809989,0.0
1714318106044,443.384,0.0,9.809989,0.0
1714318106095,443.435,0.0,9.809989,0.0
1714318106144,443.484,0.0,9.809989,0.0
1714318106193,443.533,0.0,9.809989,0.0
1714318106245,443.585,0.0,9.809989,0.0
1714318106297,443.637,0.0,9.809989,0.0
1714318106344,443.684,0.0,9.809989,0.0
1714318106393,443.733,0.0,9.809989,0.0
1714318106444,443.784,0.0,9.809989,0.0
1714318106492,443.832,0.0,9.809989,0.0
1714318106544,443.884,0.0,9.809989,0.0
1714318106595,443.935,0.0,9.809989,0.0
1714318106645,443.985,0.0,9.809989,0.0
1714318106693,444.033,0.0,9.809989,0.0
1714318106744,444.084,0.0,9.809989,0.0
1714318106793,444.133,0.0,9.809989,0.0
1714318106844,444.184,0.0,9.809989,0.0
1714318106892,444.232,0.0,9.809989,0.0
1714318106944,444.284,0.0,9.809989,0.0
1714318106996,444.336,0.0,9.809989,0.0
1714318107045,444.385,0.0,9.809989,0.0
1714318107093,444.433,0.0,9.809989,0.0
1714318107143,444.483,0.0,9.809989,0.0
1714318107197,444.537,0.0,9.809989,0.0
1714318107244,444.584,0.0,9.809989,0.0
1714318107295,444.635,0.0,9.809989,0.0
1714318107344,444.684,0.0,9.809989,0.0
1714318107397,444.737,0.0,9.809989,0.0
1714318107443,444.783,0.0,9.809989,0.0
1714318107497,444.837,0.0,9.809989,0.0
1714318107543,444.883,0.0,9.809989,0.0
1714318107595,444.935,0.0,9.809989,0.0
1714318107644,444.984,0.0,9.809989,0.0
1714318107693,445.033,0.0,9.809989,0.0
1714318107745,445.085,0.0,9.809989,0.0
1714318107797,445.137,0.0,9.809989,0.0
1714318107845,445.185,0.0,9.809989,0.0
1714318107897,445.237,0.0,9.809989,0.0
1714318107946,445.286,0.0,9.809989,0.0
1714318107995,445.335,0.0,9.809989,0.0
1714318108045,445.385,0.0,9.809989,0.0
1714318108096,445.436,0.0,9.809989,0.0
1714318108146,445.486,0.0,9.809989,0.0
1714318108196,445.536,0.0,9.809989,0.0
1714318108244,445.584,0.0,9.809989,0.0
1714318108292,445.632,0.0,9.809989,0.0
1714318108344,445.684,0.0,9.809989,0.0
1714318108393,445.733,0.0,9.809989,0.0
1714318108445,445.785,0.0,9.809989,0.0
1714318108492,445.832,0.0,9.809989,0.0
1714318108544,445.884,0.0,9.809989,0.0
1714318108593,445.933,0.0,9.809989,0.0
1714318108644,445.984,0.0,9.809989,0.0
1714318108692,446.032,0.0,9.809989,0.0
1714318108745,446.085,0.0,9.809989,0.0
1714318108796,446.136,0.0,9.809989,0.0
1714318108844,446.184,0.0,9.809989,0.0
1714318108896,446.236,0.0,9.809989,0.0
1714318108944,446.284,0.0,9.809989,0.0
1714318108997,446.337,0.0,9.809989,0.0
1714318109044,446.384,0.0,9.809989,0.0
1714318109092,446.432,0.0,9.809989,0.0
1714318109145,446.485,0.0,9.809989,0.0
1714318109197,446.537,0.0,9.809989,0.0
1714318109245,446.585,0.0,9.809989,0.0
1714318109297,446.637,0.0,9.809989,0.0
1714318109344,446.684,0.0,9.809989,0.0
1714318109396,446.736,0.0,9.809989,0.0
1714318109445,446.785,0.0,9.809989,0.0
1714318109496,446.836,0.0,9.809989,0.0
1714318109544,446.884,0.0,9.809989,0.0
1714318109598,446.938,0.0,9.809989,0.0
1714318109645,446.985,0.0,9.809989,0.0
1714318109697,447.037,0.0,9.809989,0.0
1714318109744,447.084,0.0,9.809989,0.0
1714318109795,447.135,0.0,9.809989,0.0
1714318109844,447.184,0.0,9.809989,0.0
1714318109892,447.232,0.0,9.809989,0.0
1714318109943,447.283,0.0,9.809989,0.0
1714318109992,447.332,0.0,9.809989,0.0
1714318110044,447.384,0.0,9.809989,0.0
1714318110097,447.437,0.0,9.809989,0.0
1714318110143,447.483,0.0,9.809989,0.0
1714318110197,447.537,0.0,9.809989,0.0
1714318110244,447.584,0.0,9.809989,0.0
1714318110297,447.637,0.0,9.809989,0.0
1714318110345,447.685,0.0,9.809989,0.0
1714318110397,447.737,0.0,9.809989,0.0
1714318110444,447.784,0.0,9.809989,0.0
1714318110493,447.833,0.0,9.809989,0.0
1714318110544,447.884,0.0,9.809989,0.0
1714318110597,447.937,0.0,9.809989,0.0
1714318110645,447.984,0.0,9.809989,0.0
1714318110693,448.033,0.0,9.809989,0.0
1714318110744,448.084,0.0,9.809989,0.0
1714318110797,448.137,0.0,9.809989,0.0
1714318110844,448.184,0.0,9.809989,0.0
1714318110896,448.236,0.0,9.809989,0.0
1714318110944,448.284,0.0,9.809989,0.0
1714318110993,448.333,0.0,9.809989,0.0
